playerID,sportCode,team_id,teamCode,teamName,positionCode,firstName,lastName,dateOfBirth,height,weight,number,college,birthCountry,birthCityState,draftYear,playerID,sacks,touchdowns
5084939,NFL,22,ARI,Cardinals,G,Isaiah,Adams,2000-07-21,"6' 4""",315.0,74,Illinois,Canada,"Ajax, ON",2022,5084939,NULL,NULL
4373626,NFL,22,ARI,Cardinals,RB,Tyler,Allgeier,2000-04-15,"5' 10""",220.0,22,BYU,USA,"Fontana, CA",2020,4373626,NULL,NULL
4430841,NFL,22,ARI,Cardinals,QB,Carson,Beck,2002-11-19,"6' 4""",220.0,19,Miami,USA,"Jacksonville, FL",2025,4430841,NULL,NULL
4429275,NFL,22,ARI,Cardinals,RB,Trey,Benson,2002-07-23,"6' 0""",225.0,33,Florida State,USA,"Greenville, MS",2022,4429275,NULL,NULL
4870596,NFL,22,ARI,Cardinals,G,Chase,Bisontis,2004-06-10,"6' 6""",314.0,57,Texas A&M,USA,"Ramsey, NJ",2025,4870596,NULL,NULL
3045523,NFL,22,ARI,Cardinals,WR,Kendrick,Bourne,1995-08-04,"6' 1""",205.0,17,Eastern Washington,USA,"Portland, OR",2017,3045523,NULL,NULL
2578570,NFL,22,ARI,Cardinals,QB,Jacoby,Brissett,1992-12-11,"6' 4""",235.0,7,NC State,USA,"West Palm Beach, FL",2016,2578570,NULL,NULL
4692835,NFL,22,ARI,Cardinals,WR,Jalen,Brooks,2000-05-07,"6' 2""",205.0,86,South Carolina,USA,"Harrisburg, NC",2021,4692835,NULL,NULL
4431214,NFL,22,ARI,Cardinals,G,Hayden,Conner,2002-04-26,"6' 6""",315.0,58,Texas,USA,"Katy, TX",2023,4431214,NULL,NULL
3045147,NFL,22,ARI,Cardinals,RB,James,Conner,1995-05-05,"6' 1""",233.0,6,Pittsburgh,USA,"Erie, PA",2017,3045147,NULL,NULL
4875802,NFL,22,ARI,Cardinals,G,Ka'ena,De Cambra,NULL,"6' 3""",306.0,62,Arizona,USA,"Honolulu, HI",2025,4875802,NULL,NULL
4039050,NFL,22,ARI,Cardinals,WR,Devin,Duvernay,1997-09-12,"5' 11""",202.0,81,Texas,USA,"Sachse, TX",2020,4039050,NULL,NULL
4605858,NFL,22,ARI,Cardinals,TE,Rivaldo,Fairweather,2002-07-19,"6' 3""",249.0,45,Auburn,USA,"Lauderhill, FL",2024,4605858,NULL,NULL
4360739,NFL,22,ARI,Cardinals,WR,Simi,Fehoko,1997-11-05,"6' 4""",225.0,80,Stanford,USA,"Sandy, UT",2019,4360739,NULL,NULL
3886633,NFL,22,ARI,Cardinals,C,Hjalte,Froholdt,1996-08-20,"6' 5""",310.0,72,Arkansas,Denmark,Svendborg,2019,3886633,NULL,NULL
4429782,NFL,22,ARI,Cardinals,OT,Josh,Fryar,2002-02-12,"6' 5""",320.0,78,Ohio State,USA,"Beech Grove, IN",2023,4429782,NULL,NULL
4367199,NFL,22,ARI,Cardinals,G,Jon,Gaines II,1999-05-24,"6' 4""",320.0,71,UCLA,USA,"Wauwatosa, WI",2021,4367199,NULL,NULL
4588298,NFL,22,ARI,Cardinals,TE,Jameson,Geers,NULL,"6' 5""",250.0,46,Minnesota,USA,"Channahon, IL",2025,4588298,NULL,NULL
4432705,NFL,22,ARI,Cardinals,WR,Bryson,Green,2002-12-30,"6' 1""",210.0,39,Wisconsin,USA,"Allen, TX",2024,4432705,NULL,NULL
4432708,NFL,22,ARI,Cardinals,WR,Marvin,Harrison Jr.,2002-08-11,"6' 3""",220.0,18,Ohio State,USA,"Philadelphia, PA",2022,4432708,NULL,NULL
4426844,NFL,22,ARI,Cardinals,TE,Elijah,Higgins,2000-10-27,"6' 3""",245.0,84,Stanford,USA,"Austin, TX",2021,4426844,NULL,NULL
4250935,NFL,22,ARI,Cardinals,OT,Demontrey,Jacobs,1998-11-22,"6' 6""",325.0,67,South Florida,USA,"Gonzales, LA",2022,4250935,NULL,NULL
